"id","name"
0,"Agricultural Machinery, Equipment, and Facilities Support Services"
1,"Agriculture and Fishery Policy Services"
2,"Agriculture and Fishery Regulatory Support"
3,"Block Farm Program"
4,"Bridge Construction and Repair"
5,"Coconut Industry Development Program"
6,"Credit Facilitation Services"
7,"Credit Facilitation Services
"
8,"Credit Support Services"
9,"Crop Insurance Program"
10,"Cross-Cutting"
11,"Dairy Industry Development Program"
12,"Development of organizational policies, plans and procedures"
13,"Extension Support, Education and Training Services"
14,"Farm-to-Mill Roads"
15,"Farm-to-market Road Network Services"
16,"Fisheries Infrastructure Development Program"
17,"Formulation, monitoring and evaluation of agricultural and fishery policies, plans and programs"
18,"Hatcheries maintained"
19,"Information Support Services"
20,"Irrigation Network Services"
21,"Irrigation Systems Development Program"
22,"Irrigation Systems Restoration/Repair/Rehabilitation Program"
23,"Market Development Services"
24,"Natural/Ecological Infrastructure"
25,"Non-DA Programs"
26,"Non-DA programs"
27,"Operation and Maintenance of Integrated Laboratories"
28,"Operations  for Function and Operations and maintenance of integrated laboratories for Sub-Program"
29,"Operations and maintenance of integrated laboratories"
30,"Other Infrastructure and Facilities"
31,"Others"
32,"Postharvest Equipment and Facilities"
33,"Postharvest Facilities established"
34,"Production Support Services"
35,"Research & Development"
36,"Research and Development"
37,"Research and Development Program"
38,"SWIP"
39,"Scholarship Program"
40,"Socialized Credit Program"
41,"Support to Credit Operations"
42,"Support to Operations"
43,"na"
